epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1469,2.41726,5.35758,2.14259,0.00222,0.66667,0.00206,0.00074,2.06102,4.84771,1.9231,8e-05,8e-05,8e-05
2,73.0728,2.13411,4.6549,1.88305,0.00333,1,0.00837,0.00312,1.68714,4.24379,1.64417,0.000176436,0.000176436,0.000176436
3,104.002,1.84693,3.54368,1.57087,0.00311,0.93333,0.00646,0.0025,1.38807,4.1545,1.60883,0.000268912,0.000268912,0.000268912
4,134.5,1.81583,2.82048,1.51935,0.00333,1,0.00627,0.00281,1.54377,4.17453,1.64123,0.000357428,0.000357428,0.000357428
5,164.936,1.65653,2.8189,1.48375,0.00289,0.86667,0.0055,0.00311,1.42542,4.18947,1.58625,0.000441984,0.000441984,0.000441984
6,195.302,1.82959,2.62222,1.51973,0.00333,1,0.00664,0.00353,1.41405,4.02203,1.46837,0.00052258,0.00052258,0.00052258
7,225.564,1.75035,2.29363,1.38085,0.00333,1,0.0062,0.00378,1.32142,3.92908,1.37128,0.000599216,0.000599216,0.000599216
8,255.618,1.67548,2.28981,1.42518,0.00289,0.86667,0.00769,0.0049,1.39396,3.88575,1.41784,0.000671892,0.000671892,0.000671892
9,286.16,1.75384,2.33574,1.37605,0.00311,0.93333,0.02709,0.01695,1.39853,3.767,1.4264,0.000740608,0.000740608,0.000740608
10,316.538,1.55139,1.98741,1.25642,0.00333,1,0.0746,0.03147,1.41282,3.79037,1.44354,0.000805364,0.000805364,0.000805364
11,347.141,1.63837,2.23729,1.28628,0.00311,0.93333,0.0058,0.00336,1.4024,4.01397,1.49509,0.00086616,0.00086616,0.00086616
12,377.331,1.45808,1.78372,1.26968,0.00311,0.93333,0.20194,0.12286,1.55029,3.69718,1.4949,0.000922996,0.000922996,0.000922996
13,407.572,1.44846,1.86909,1.26489,0.00289,0.86667,0.13925,0.10987,1.54598,3.75564,1.53,0.000975872,0.000975872,0.000975872
14,437.774,1.3677,1.73327,1.21342,0.00333,1,0.19973,0.12238,1.42261,3.72909,1.39234,0.00102479,0.00102479,0.00102479
15,468.09,1.43238,1.65765,1.26548,1,0.16512,0.54451,0.29941,1.551,3.40002,1.48208,0.00106974,0.00106974,0.00106974
16,498.31,1.43006,1.67314,1.30298,1,0.2143,0.63152,0.39356,1.49664,3.34216,1.47386,0.00111074,0.00111074,0.00111074
17,528.322,1.43871,1.68704,1.29606,1,0.6247,0.81356,0.45597,1.51797,2.83236,1.49382,0.00114778,0.00114778,0.00114778
18,558.483,1.40528,1.66178,1.18836,0.85414,0.6,0.87034,0.47864,1.60951,2.7738,1.57704,0.00118085,0.00118085,0.00118085
19,588.841,1.39622,1.66365,1.20824,0.89539,0.57232,0.79311,0.47749,1.49878,2.93546,1.47752,0.00120997,0.00120997,0.00120997
20,619.007,1.40945,1.57116,1.22356,0.88172,0.49891,0.71459,0.38162,1.48603,3.15443,1.47417,0.00123512,0.00123512,0.00123512
21,649.27,1.42205,1.54245,1.24897,0.90172,0.61264,0.7468,0.34738,1.51812,2.84756,1.58502,0.001208,0.001208,0.001208
22,679.54,1.34432,1.63489,1.17851,0.9155,0.72303,0.79575,0.43513,1.49273,2.46178,1.58354,0.0011684,0.0011684,0.0011684
23,710.606,1.38623,1.49638,1.18052,0.88216,0.73333,0.7679,0.45103,1.38219,2.5434,1.51702,0.0011288,0.0011288,0.0011288
24,740.913,1.30596,1.44605,1.10213,1,0.71877,0.79156,0.45529,1.35668,2.60672,1.51974,0.0010892,0.0010892,0.0010892
25,770.955,1.28232,1.50117,1.20032,0.90865,0.66667,0.71836,0.42782,1.39096,2.44603,1.48899,0.0010496,0.0010496,0.0010496
26,801.108,1.38049,1.47427,1.14243,0.99402,0.73333,0.84703,0.45841,1.56631,2.09962,1.49858,0.00101,0.00101,0.00101
27,831.442,1.28405,1.3709,1.13483,0.98316,0.73333,0.87366,0.49618,1.52673,1.82481,1.43367,0.0009704,0.0009704,0.0009704
28,861.582,1.23521,1.32512,1.13779,0.92337,0.8036,0.87796,0.53871,1.43976,1.80231,1.40893,0.0009308,0.0009308,0.0009308
29,893.101,1.38136,1.38575,1.19709,0.98955,0.73333,0.8535,0.50648,1.44178,1.92444,1.49567,0.0008912,0.0008912,0.0008912
30,923.178,1.31291,1.35291,1.1484,0.86464,0.85248,0.87125,0.51109,1.44515,1.87187,1.53135,0.0008516,0.0008516,0.0008516
31,953.226,1.23428,1.37877,1.14037,0.86324,0.84267,0.89872,0.55146,1.41399,1.77648,1.55817,0.000812,0.000812,0.000812
32,983.311,1.36471,1.49547,1.22026,0.87354,0.92163,0.92047,0.56069,1.33167,1.53462,1.50658,0.0007724,0.0007724,0.0007724
33,1013.32,1.26202,1.26841,1.22028,0.87319,0.91885,0.93093,0.55644,1.34018,1.49531,1.45545,0.0007328,0.0007328,0.0007328
34,1043.71,1.27261,1.1807,1.10969,0.93164,0.9096,0.95605,0.57641,1.38007,1.52049,1.48277,0.0006932,0.0006932,0.0006932
35,1073.64,1.25093,1.2117,1.10002,1,0.90396,0.95457,0.56148,1.36778,1.52615,1.45045,0.0006536,0.0006536,0.0006536
36,1104.02,1.15512,1.17893,1.0408,0.97473,0.93333,0.955,0.572,1.35868,1.38111,1.38792,0.000614,0.000614,0.000614
37,1134.04,1.04039,1.09207,1.06833,0.99413,0.93333,0.9575,0.61613,1.34116,1.31326,1.35685,0.0005744,0.0005744,0.0005744
38,1164.2,1.20831,1.31882,1.06058,0.9868,0.86667,0.9487,0.60021,1.35382,1.33054,1.38695,0.0005348,0.0005348,0.0005348
39,1194.33,1.11311,1.07868,1.09972,0.98254,0.86667,0.93212,0.5565,1.4015,1.37994,1.48457,0.0004952,0.0004952,0.0004952
40,1224.26,1.0454,1.05538,1.05309,0.88978,0.86667,0.90057,0.52348,1.40068,1.40179,1.5031,0.0004556,0.0004556,0.0004556
41,1254.79,1.14708,1.44077,1.14383,0.84266,0.86667,0.89198,0.51356,1.41484,1.50043,1.54578,0.000416,0.000416,0.000416
42,1284.85,1.06512,1.26215,1.08667,0.91255,0.86667,0.8993,0.46983,1.43033,1.67326,1.57277,0.0003764,0.0003764,0.0003764
43,1314.65,1.05397,1.2912,1.09084,1,0.85123,0.8652,0.45881,1.53519,1.69687,1.60621,0.0003368,0.0003368,0.0003368
44,1344.53,1.12134,1.41007,1.04978,1,0.86076,0.86549,0.46869,1.48895,1.62265,1.57363,0.0002972,0.0002972,0.0002972
45,1374.52,1.02054,1.21126,1.04009,0.99187,0.86667,0.8791,0.52998,1.36914,1.55488,1.49225,0.0002576,0.0002576,0.0002576
46,1404.63,1.00671,1.21269,1.01082,0.98966,0.86667,0.93069,0.56978,1.31046,1.50146,1.48205,0.000218,0.000218,0.000218
47,1434.33,1.0735,1.21605,1.10416,0.98796,0.86667,0.92991,0.59429,1.28591,1.44296,1.47322,0.0001784,0.0001784,0.0001784
48,1464.08,0.94259,1.12175,0.99153,0.98771,0.86667,0.93798,0.61499,1.27615,1.41519,1.46442,0.0001388,0.0001388,0.0001388
49,1493.77,0.92385,1.16276,1.0313,0.98796,0.86667,0.94058,0.5829,1.27916,1.41733,1.46692,9.92e-05,9.92e-05,9.92e-05
50,1523.38,0.99658,1.16713,1.11953,0.98893,0.86667,0.9427,0.58106,1.28284,1.41154,1.47255,5.96e-05,5.96e-05,5.96e-05
