epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.829,2.14549,4.67777,1.62554,0.00333,1,0.17786,0.06845,1.7654,3.75813,1.42906,0.0003,0.0003,0.0003
2,221.801,1.74207,2.58351,1.31429,0.00333,1,0.00806,0.00401,1.48061,3.7734,1.36893,0.000607724,0.000607724,0.000607724
3,327.645,1.59342,2.21508,1.28892,0.00333,1,0.01223,0.00715,1.46447,3.77992,1.46322,0.000902776,0.000902776,0.000902776
4,433.567,1.65933,2.11768,1.28979,0.00333,1,0.19838,0.09219,1.59901,3.66497,1.57202,0.00118516,0.00118516,0.00118516
5,538.906,1.62708,1.9062,1.24456,0.03408,0.8,0.03155,0.01658,1.65098,38.3748,1.53642,0.00145486,0.00145486,0.00145486
6,644.125,1.60433,1.82669,1.24016,0.1228,0.26667,0.13571,0.08043,1.40698,3.06311,1.29027,0.0017119,0.0017119,0.0017119
7,749.159,1.55142,1.64812,1.25433,0.79416,0.77273,0.87886,0.40929,1.80402,2.31568,1.69177,0.0017624,0.0017624,0.0017624
8,853.108,1.465,1.45726,1.17179,0.82952,0.8,0.92106,0.45145,1.78459,1.83327,1.57169,0.0017228,0.0017228,0.0017228
9,957.356,1.50837,1.47999,1.19986,0.9237,0.80753,0.95028,0.50138,1.66371,1.90745,1.47135,0.0016832,0.0016832,0.0016832
10,1062.01,1.40975,1.2985,1.19012,0.99582,0.8,0.88825,0.47466,1.70303,1.85475,1.49951,0.0016436,0.0016436,0.0016436
11,1166.72,1.43932,1.27216,1.19784,0.86844,0.88088,0.9304,0.57821,1.44772,1.37873,1.50637,0.001604,0.001604,0.001604
12,1271.62,1.42171,1.1801,1.20052,0.96932,0.8,0.90863,0.55142,1.4554,1.60329,1.51582,0.0015644,0.0015644,0.0015644
13,1376.76,1.46325,1.16765,1.25218,0.96594,0.8,0.91291,0.5703,1.51398,1.35699,1.47068,0.0015248,0.0015248,0.0015248
14,1481.98,1.35737,1.08221,1.14893,0.99692,0.93333,0.95231,0.55577,1.42319,1.21948,1.36036,0.0014852,0.0014852,0.0014852
